BorrName,BorrID,LoanStatus,GrossApproval,SBAGuarantee,PctOfGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,DebtCoverage,Leverage,COFiscalYear,COAmount,PrinBalanceCollected,PctOfPrinColl,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,JobsSupported
STONE SAVER INC.,13499,EXEMPT,15000,12750,0.85,7.5,120,2010,8/5/10,8/5/10,0,6/13/20,0,2.25,2,0,0,6750,0.45,0,0,0,236220,1
BAMBOO CLOTHIERS INC,13500,EXEMPT,10000,8500,0.85,7.5,120,2010,8/4/10,8/4/10,0,6/12/20,0,2.25,2,0,0,4500,0.45,0,0,0,424330,4
P.B. SUPPORT SERVICES INC.,13501,EXEMPT,12500,6250,0.5,7.5,120,2010,8/4/10,8/4/10,0,6/12/20,0,2.25,2,0,0,5625,0.45,0,0,0,624120,5
A & J PAK-SHIP INC,13503,PIF,10000,5000,0.5,7.5,120,2010,8/3/10,8/3/10,0,6/11/20,0,2.25,4,0,0,10000,1,0,0,0,561431,1
BULLDOG FENCE OF FLORIDA,13504,PIF,25000,21250,0.85,7.5,120,2010,8/3/10,8/3/10,0,6/11/20,0,2.25,4,0,0,25000,1,0,0,0,236220,16
PEOPLETOWELS LLC,13505,PIF,15000,12750,0.85,7.75,120,2010,8/2/10,8/2/10,0,6/10/20,0,2.25,4,0,0,15000,1,0,0,0,453998,2
NEW WORLD LEASING,13506,PIF,15000,12750,0.85,7.75,120,2010,7/29/10,7/29/10,0,6/6/20,0,2.25,4,0,0,15000,1,0,0,0,453998,6
CORAL SWORD INC,13507,PIF,10000,8500,0.85,7.5,120,2010,7/27/10,7/27/10,0,6/4/20,0,2.25,4,0,0,10000,1,0,0,0,488991,1
ADVANTAGE REC INC.,13508,EXEMPT,5000,4250,0.85,7.5,120,2010,7/27/10,7/27/10,0,6/4/20,0,2.25,2,0,0,2250,0.45,0,0,0,531210,6
GULF COAST AUTOMOTIVE DISTRIBU,13509,PIF,10000,8500,0.85,7.5,120,2010,7/24/10,7/24/10,0,6/1/20,0,2.25,4,0,0,10000,1,0,0,0,441310,12
"AMBER WORLDWIDE ENTERPRISES, I",13510,PIF,10000,8500,0.85,7.75,120,2010,7/24/10,7/24/10,0,6/1/20,0,2.25,4,0,0,10000,1,0,0,0,423940,2
ACREAGE MOBILE SMALL ENGINE IN,13511,PIF,10000,8500,0.85,7.5,120,2010,7/24/10,7/24/10,0,6/1/20,0,2.25,4,0,0,10000,1,0,0,0,811411,3
MADISON ENGINEERING LLC,13512,EXEMPT,10000,8500,0.85,7.5,120,2010,7/22/10,7/22/10,0,5/30/20,0,2.25,2,0,0,4500,0.45,0,0,0,541330,1
ABC PILATES,13513,PIF,15000,12750,0.85,7.5,120,2010,7/21/10,7/21/10,0,5/29/20,0,2.25,4,0,0,15000,1,0,0,0,713940,5
COMMERCIAL ATM ENTERPRISES INC,13514,PIF,5000,4250,0.85,7.5,120,2010,7/21/10,7/21/10,0,5/29/20,0,2.25,4,0,0,5000,1,0,0,0,454210,4
"INDEPENDENT RESOURCES, INC",13515,EXEMPT,15000,12750,0.85,7.5,120,2010,7/20/10,7/20/10,0,5/28/20,0,2.25,2,0,0,6750,0.45,0,0,0,323110,10
MAC DISTRIBUTION INC,13516,PIF,15000,12750,0.85,7.5,120,2010,7/20/10,7/20/10,0,5/28/20,0,2.25,4,0,0,15000,1,0,0,0,453998,9
"HID-N-SCREEN, INC",13517,EXEMPT,25000,21250,0.85,7.5,120,2010,7/20/10,7/20/10,0,5/28/20,0,2.25,2,0,0,11250,0.45,0,0,0,236220,4
ARTISTIC HARDSCAPES CONSTRUCTI,13518,EXEMPT,15000,12750,0.85,7.5,120,2010,7/19/10,7/19/10,0,5/27/20,0,2.25,2,0,0,6750,0.45,0,0,0,238330,4
HARRY L HAYES PLUMBING INC,13519,PIF,15000,12750,0.85,7.5,120,2010,7/19/10,7/19/10,0,5/27/20,0,2.25,4,0,0,15000,1,0,0,0,238220,6
PAMPERED PAWS DOG DAY CARE LLC,13520,PIF,15000,12750,0.85,7.5,120,2010,7/17/10,7/17/10,0,5/25/20,0,2.25,4,0,0,15000,1,0,0,0,812910,4
SIGNATURE LANDSCAPE DESIGN & I,13521,EXEMPT,12500,10625,0.85,7.5,120,2010,7/16/10,7/16/10,0,5/24/20,0,2.25,2,0,0,5625,0.45,0,0,0,561730,15
"DEVRIES SCHOOL OF ARTS, INC",13522,EXEMPT,12500,10625,0.85,7.75,120,2010,7/15/10,7/15/10,0,5/23/20,0,2.25,2,0,0,5625,0.45,0,0,0,611610,1
NEW COMMUNITY STRATEGIES INC,13523,PIF,10000,8500,0.85,7.5,120,2010,7/14/10,7/14/10,0,5/22/20,0,2.25,4,0,0,10000,1,0,0,0,561110,17
EAGLE EYE HOME INSPECTION LLC,13524,EXEMPT,5000,4250,0.85,7.75,120,2010,7/13/10,7/13/10,0,5/21/20,0,2.25,2,0,0,2250,0.45,0,0,0,541350,5
CALFLAND TRADERS INC,13525,PIF,12500,10625,0.85,7.5,120,2010,7/13/10,7/13/10,0,5/21/20,0,2.25,4,0,0,12500,1,0,0,0,441229,10
CHAKLA INC,13526,EXEMPT,7500,6375,0.85,7.75,120,2010,7/7/10,7/7/10,0,5/15/20,0,2.25,2,0,0,3375,0.45,0,0,0,524210,2
FREDERICK TITLE SERVICES INC,13527,EXEMPT,5000,4250,0.85,7.75,120,2010,6/30/10,7/1/10,1,5/9/20,0,2.25,2,0,0,2250,0.45,0,0,0,541191,3
AD-VANCE PERSONNEL SERVICES IN,13528,EXEMPT,7500,6375,0.85,7.75,120,2010,6/24/10,6/28/10,4,5/6/20,0,2.25,2,0,0,3375,0.45,0,0,0,561311,7
TR ASSOCIATES,13529,PIF,7500,6375,0.85,7.75,120,2010,6/24/10,6/24/10,0,5/2/20,0,2.25,4,0,0,7500,1,0,0,0,453220,1
"POINT OF VIEW, INC",13530,EXEMPT,5000,4250,0.85,7.75,120,2010,6/21/10,6/21/10,0,4/29/20,0,2.25,2,0,0,2250,0.45,0,0,0,541519,2
GALLERY PIQUEL CORPORATION,13531,EXEMPT,10000,8500,0.85,7.75,120,2010,6/18/10,6/18/10,0,4/26/20,0,2.25,2,0,0,4500,0.45,0,0,0,453920,2
DOUG'S SUNSHINE POOL SERVICE I,13532,PIF,10000,8500,0.85,7.75,120,2010,6/14/10,6/14/10,0,4/22/20,0,2.25,4,0,0,10000,1,0,0,0,812990,1
CHAMPION TITLE & TRUST CORPORA,13533,PIF,15000,12750,0.85,7.75,48,2010,6/14/10,6/14/10,0,5/24/14,0,2.25,4,0,0,15000,1,0,0,0,541191,4
MITTS MEDIA LLC,13534,EXEMPT,5000,4250,0.85,7.75,120,2010,6/8/10,6/8/10,0,4/16/20,0,2.25,2,0,0,2250,0.45,0,0,0,516110,2
2 BROTHERS APPLIANCE CONTRACTI,13535,EXEMPT,5000,4250,0.85,7.75,120,2010,6/4/10,6/4/10,0,4/12/20,0,2.25,2,0,0,2250,0.45,0,0,0,238990,4
HYDRAULIC & PNEUMATIC SERVICES,13536,EXEMPT,7500,6375,0.85,7.75,120,2010,6/3/10,6/3/10,0,4/11/20,0,2.25,2,0,0,3375,0.45,0,0,0,811310,1
WENOC ENTERPRISES INC,13537,EXEMPT,20000,17000,0.85,7.75,120,2010,6/3/10,6/3/10,0,4/11/20,0,2.25,2,0,0,9000,0.45,0,0,0,423450,4
JIMICON INC,13538,EXEMPT,5000,4250,0.85,7.75,120,2010,5/27/10,5/27/10,0,4/4/20,0,2.25,2,0,0,2250,0.45,0,0,0,811111,20
HANGING GRAPEVINES INC,13539,PIF,5000,4250,0.85,7.75,120,2010,5/26/10,5/26/10,0,4/3/20,0,2.25,4,0,0,5000,1,0,0,0,323113,3
MIAMI-KITE BOARDING INC,13540,EXEMPT,12500,10625,0.85,7.75,120,2010,5/26/10,5/26/10,0,4/3/20,0,2.25,2,0,0,5625,0.45,0,0,0,532292,3
SAVVY DOG DESIGN LLC,13541,EXEMPT,20000,18000,0.9,7.75,120,2010,5/25/10,5/25/10,0,4/2/20,0,2.25,2,0,0,9000,0.45,0,0,0,541512,2
"RRBT, LLC",13542,PIF,20000,18000,0.9,7.75,120,2010,5/25/10,5/25/10,0,4/2/20,0,2.25,4,0,0,20000,1,0,0,0,531311,1
"ANA M VELIZ, P.A.",13543,EXEMPT,7500,6750,0.9,7.75,120,2010,5/21/10,5/21/10,0,3/29/20,0,2.25,2,0,0,3375,0.45,0,0,0,541110,2
"MICHE BAG TAMPA BAY, LLC",13544,EXEMPT,10000,9000,0.9,7.75,120,2010,5/21/10,5/21/10,0,3/29/20,0,2.25,2,0,0,4500,0.45,0,0,0,316992,2
"NGWAHL, LLC",13545,PIF,10000,9000,0.9,7.75,62,2010,5/18/10,5/18/10,0,6/21/15,0,2.25,4,0,0,10000,1,0,0,0,561720,18
ADVANTAGE INTERNET ENTERPRISES,13546,EXEMPT,5000,4500,0.9,7.75,120,2010,5/18/10,5/18/10,0,3/26/20,0,2.25,2,0,0,2250,0.45,0,0,0,454111,2
"NEW MODERN HOME, LLC",13547,EXEMPT,7500,6750,0.9,7.75,120,2010,5/11/10,5/11/10,0,3/19/20,0,2.25,2,0,0,3375,0.45,0,0,0,442110,4
SHOW CASE DEVELOPERS LLC,13548,EXEMPT,15000,13500,0.9,7.75,120,2010,5/10/10,5/10/10,0,3/18/20,0,2.25,2,0,0,6750,0.45,0,0,0,561730,7
GULF COAST BALLET LLC,13549,EXEMPT,7500,6750,0.9,7.75,120,2010,5/6/10,5/6/10,0,3/14/20,0,2.25,2,0,0,3375,0.45,0,0,0,611699,3
"CLARK SCHOOL OF MASSAGE, INC",13550,PIF,15000,13500,0.9,7.75,120,2010,5/5/10,5/5/10,0,3/13/20,0,2.25,4,0,0,15000,1,0,0,0,611699,4
TRI-STAR SERVICE ENTERPRISES I,13551,PIF,10000,9000,0.9,7.75,120,2010,4/30/10,5/1/10,1,3/9/20,0,2.25,4,0,0,10000,1,0,0,0,811111,6
MACCLENNY MOWER AND SAW INC,13552,EXEMPT,7500,6750,0.9,7.75,120,2010,4/28/10,4/28/10,0,3/6/20,0,2.25,2,0,0,3375,0.45,0,0,0,811411,3
BOHLMANN & HANSON LLC,13553,PIF,12500,11250,0.9,7.75,120,2010,4/23/10,4/23/10,0,3/1/20,0,2.25,4,0,0,12500,1,0,0,0,453220,2
RPS MANAGEMENT OF SOUTH FLORID,13554,EXEMPT,7500,6750,0.9,7.75,120,2010,4/21/10,4/21/10,0,2/28/20,0,2.25,2,0,0,3375,0.45,0,0,0,454111,12
"ASSURED HOME HEALTHCARE, LLC",13555,PIF,20000,18000,0.9,7.75,120,2010,4/15/10,4/15/10,0,2/22/20,0,2.25,4,0,0,20000,1,0,0,0,621610,12
SPEEDIE RECOVERY OF SOUTH FLOR,13556,EXEMPT,7500,6750,0.9,7.75,120,2010,4/14/10,4/14/10,0,2/21/20,0,2.25,2,0,0,3375,0.45,0,0,0,561491,3
SHADIA'S SECRETS INC,13557,EXEMPT,5000,4500,0.9,7.75,120,2010,4/14/10,4/14/10,0,2/21/20,0,2.25,2,0,0,2250,0.45,0,0,0,446199,3
"SAHB ENTERTAINMENTS, INC",13558,EXEMPT,7500,6750,0.9,7.75,120,2010,4/13/10,4/13/10,0,2/20/20,0,2.25,2,0,0,3375,0.45,0,0,0,722110,9
CREDIT CARS SALES LLC,13559,EXEMPT,10000,9000,0.9,7.75,120,2010,4/2/10,4/2/10,0,2/9/20,0,2.25,2,0,0,4500,0.45,0,0,0,441120,2
MICHAEL F CASTAGNA AUTO SALES,13560,EXEMPT,7500,6750,0.9,7.75,120,2010,4/2/10,4/2/10,0,2/9/20,0,2.25,2,0,0,3375,0.45,0,0,0,441120,3
DIVERS DELIGHT SCUBA SERVICE,13561,PIF,15000,13500,0.9,7.75,120,2010,3/26/10,3/26/10,0,2/2/20,0,2.25,4,0,0,15000,1,0,0,0,488390,1
MPR-FINTRA INC,13562,EXEMPT,10000,9000,0.9,7.75,120,2010,3/24/10,3/24/10,0,1/31/20,0,2.25,2,0,0,4500,0.45,0,0,0,524298,1
"PESTKIL, INC.",13563,EXEMPT,5000,4500,0.9,7.75,120,2010,3/23/10,3/23/10,0,1/30/20,0,2.25,2,0,0,2250,0.45,0,0,0,561710,2
BAYPORT SALES CORP,13564,EXEMPT,5000,4500,0.9,7.75,120,2010,3/18/10,3/18/10,0,1/25/20,0,2.25,2,0,0,2250,0.45,0,0,0,441229,2
HOMOSASSA BUTTERFLY LLC,13565,EXEMPT,15000,13500,0.9,7.75,120,2010,3/17/10,3/17/10,0,1/24/20,0,2.25,2,0,0,6750,0.45,0,0,0,712190,2
"THE REEF OF REDINGTON SHORES,",13566,EXEMPT,10000,9000,0.9,7.75,30,2010,3/16/10,3/16/10,0,9/1/12,0,2.25,2,0,0,4500,0.45,0,0,0,445220,2
"THE CURRAN LAW FIRM, PA",13567,EXEMPT,5000,4500,0.9,7.75,120,2010,3/12/10,3/12/10,0,1/19/20,0,2.25,2,0,0,2250,0.45,0,0,0,541110,1
HALINA'S CUSTOM INTERIORS INC,13568,EXEMPT,15000,13500,0.9,7.75,120,2010,3/11/10,3/10/10,-1,1/17/20,0,2.75,2,0,0,6750,0.45,0,0,0,442299,5
CHAMELEON CUSTOM SOLUTIONS COR,13569,PIF,12500,10625,0.85,7.75,99,2010,3/5/10,3/5/10,0,4/22/18,0,2.25,4,0,0,12500,1,0,0,0,323119,17
J B MINISTRIES LLC,13570,PIF,5000,4250,0.85,7.75,120,2010,3/4/10,3/4/10,0,1/11/20,0,2.25,4,0,0,5000,1,0,0,0,611710,4
R.L. ANGEL II LLC,13571,PIF,7500,6375,0.85,7.75,120,2010,3/3/10,3/3/10,0,1/10/20,0,2.25,4,0,0,7500,1,0,0,0,311411,16
LAKE ASBURY FITNESS LLC,13572,PIF,15000,12750,0.85,7.75,120,2010,3/3/10,3/3/10,0,1/10/20,0,2.25,4,0,0,15000,1,0,0,0,611620,2
Datum Corporation,13573,PIF,15000,12750,0.85,7.75,120,2010,3/3/10,3/3/10,0,1/10/20,0,2.25,4,0,0,15000,1,0,0,0,541618,5
EQUITY TITLE LLC,13574,PIF,10000,8500,0.85,7.75,120,2010,3/2/10,3/2/10,0,1/9/20,0,2.25,4,0,0,10000,1,0,0,0,524298,4
MEYKIN GLOBAL ENTERPRISES INC,13575,PIF,5000,4250,0.85,7.75,120,2010,3/2/10,3/2/10,0,1/9/20,0,2.25,4,0,0,5000,1,0,0,0,454111,2
CMH WATER AND WASTEWATER SERVI,13577,PIF,10000,9000,0.9,7.75,120,2010,2/20/10,2/20/10,0,12/30/19,0,2.25,4,0,0,10000,1,0,0,0,237110,3
"C.A.P. SYSTEMS, INC",13578,EXEMPT,15000,13500,0.9,7.75,120,2010,2/17/10,2/17/10,0,12/27/19,0,2.25,2,0,0,6750,0.45,0,0,0,722310,32
STAR RECRUITING SERVICE LLC,13579,EXEMPT,12500,11250,0.9,7.75,120,2010,2/16/10,2/16/10,0,12/26/19,0,2.25,2,0,0,5625,0.45,0,0,0,611710,2
"KYBSIGNSHOP, INC",13580,EXEMPT,7500,6750,0.9,7.75,120,2010,2/9/10,2/9/10,0,12/19/19,0,2.25,2,0,0,3375,0.45,0,0,0,541430,1
"LUXURY SELLUTIONS, LLC",13581,EXEMPT,5000,4500,0.9,7.75,120,2010,2/2/10,2/2/10,0,12/12/19,0,2.25,2,0,0,2250,0.45,0,0,0,531390,1
"TGF GLOBAL MARKETING, LLC",13582,EXEMPT,7500,6750,0.9,7.75,120,2010,2/1/10,2/1/10,0,12/11/19,0,2.25,2,0,0,3375,0.45,0,0,0,454111,3
JAYBIRD INVESTMENTS INC,13583,PIF,15000,13500,0.9,7.75,120,2010,1/29/10,1/29/10,0,12/8/19,0,2.25,4,0,0,15000,1,0,0,0,541618,2
UK SALES LLC,13584,PIF,15000,13500,0.9,7.75,120,2010,1/29/10,1/29/10,0,12/8/19,0,2.25,4,0,0,15000,1,0,0,0,423720,3
I & Y GROUP INC,13585,EXEMPT,15000,13500,0.9,7.75,120,2010,1/28/10,1/28/10,0,12/7/19,0,2.25,2,0,0,6750,0.45,0,0,0,484121,8
BASTION HOME AND BUSINESS SERV,13586,EXEMPT,15000,13500,0.9,7.75,120,2010,1/27/10,1/27/10,0,12/6/19,0,2.25,2,0,0,6750,0.45,0,0,0,519130,3
CABRERA & ASSOCIATES INC,13587,EXEMPT,10000,9000,0.9,7.75,120,2010,1/27/10,1/27/10,0,12/6/19,0,2.25,2,0,0,4500,0.45,0,0,0,523930,10
BTBG LLC,13588,PIF,12500,11250,0.9,7.75,120,2010,1/25/10,1/25/10,0,12/4/19,0,2.25,4,0,0,12500,1,0,0,0,423220,3
RUN WITH IT INC,13589,PIF,20000,18000,0.9,7.75,120,2010,1/21/10,1/21/10,0,11/30/19,0,2.25,4,0,0,20000,1,0,0,0,451110,12
RICARDO INVESTMENTS CORP,13590,EXEMPT,7500,6750,0.9,7.75,120,2010,1/21/10,1/21/10,0,11/30/19,0,2.25,2,0,0,3375,0.45,0,0,0,423110,5
KEY WEST SMOKED FISH INC,13591,PIF,10000,9000,0.9,7.75,120,2010,1/19/10,1/19/10,0,11/28/19,0,2.25,4,0,0,10000,1,0,0,0,424460,2
COMPLETE THERAPY SOLUTIONS & C,13592,EXEMPT,7500,6750,0.9,7.75,120,2010,1/14/10,1/14/10,0,11/23/19,0,2.25,2,0,0,3375,0.45,0,0,0,621399,7
ADAPTIVE LIVING CONCEPTS INC,13593,EXEMPT,10000,9000,0.9,7.75,120,2010,1/12/10,1/11/10,-1,11/20/19,0,2.75,2,0,0,4500,0.45,0,0,0,511210,3
ALL TURF LAWN & LANDSCAPE MAIN,13594,EXEMPT,7500,6750,0.9,7.75,120,2010,1/12/10,1/12/10,0,11/21/19,0,2.25,2,0,0,3375,0.45,0,0,0,561730,6
RIBADO CORPORATION,13595,PIF,20000,18000,0.9,7.75,120,2010,1/7/10,1/7/10,0,11/16/19,0,2.25,4,0,0,20000,1,0,0,0,442210,2
CSI PLUMBING INC,13596,EXEMPT,15000,13500,0.9,7.75,120,2010,12/28/09,12/28/09,0,11/6/19,0,2.25,2,0,0,6750,0.45,0,0,0,238220,2
SMELSER ENTERPRISES LLC,13597,EXEMPT,10000,8500,0.85,7.75,120,2010,12/17/09,12/17/09,0,10/26/19,0,2.25,2,0,0,4500,0.45,0,0,0,523930,1
CORSI CONSULTING INC,13598,EXEMPT,5000,4250,0.85,7.75,120,2010,12/17/09,12/17/09,0,10/26/19,0,2.25,2,0,0,2250,0.45,0,0,0,541511,6
"WEST INN LOUNGE, INC.",13599,EXEMPT,20000,17000,0.85,7.75,120,2010,12/15/09,12/15/09,0,10/24/19,0,2.25,2,0,0,9000,0.45,0,0,0,445310,16
STEELEWING TRANSPORT LLC,13600,PIF,7500,6375,0.85,7.75,104,2010,12/10/09,12/10/09,0,6/26/18,0,2.25,4,0,0,7500,1,0,0,0,488510,5
CAJUN INSTALLATION & DISTRIBUT,13601,PIF,10000,8500,0.85,7.75,120,2010,12/10/09,12/10/09,0,10/19/19,0,2.25,4,0,0,10000,1,0,0,0,238390,11
JMAF GROUP LLC,13602,EXEMPT,5000,4250,0.85,7.75,120,2010,12/7/09,12/7/09,0,10/16/19,0,2.25,2,0,0,2250,0.45,0,0,0,326291,3
"JJH FINANCIAL, INC",13603,EXEMPT,7500,6375,0.85,7.75,120,2010,12/4/09,12/4/09,0,10/13/19,0,2.25,2,0,0,3375,0.45,0,0,0,523930,6
RAY C MOORE LLC,13604,PIF,7500,6375,0.85,7.75,86,2010,12/4/09,12/4/09,0,12/27/16,0,2.25,4,0,0,7500,1,0,0,0,236115,4
"ISLE STYLE OF KEY WEST, INC.",13605,EXEMPT,5000,4250,0.85,7.75,120,2010,12/4/09,12/4/09,0,10/13/19,0,2.25,2,0,0,2250,0.45,0,0,0,812112,5
"A TO Z NASSAU PROPERTIES, INC",13606,PIF,20000,17000,0.85,7.75,120,2010,12/2/09,12/2/09,0,10/11/19,0,2.25,4,0,0,20000,1,0,0,0,238220,4
PREMIUM COMFORT PANEL HOMES,13607,PIF,7500,6375,0.85,7.75,97,2010,11/25/09,11/25/09,0,11/13/17,0,2.25,4,0,0,7500,1,0,0,0,444190,12
BIOSHIELD ENVIRONMENTAL SERVIC,13608,PIF,7500,6375,0.85,7.75,120,2010,11/24/09,11/24/09,0,10/3/19,0,2.25,4,0,0,7500,1,0,0,0,541620,4
"WILLIAM R. VANHOOK, JR CPA",13609,EXEMPT,10000,8500,0.85,7.75,120,2010,11/23/09,11/23/09,0,10/2/19,0,2.25,2,0,0,4500,0.45,0,0,0,541211,40
FERMIL & ASSOCIATES INC,13610,EXEMPT,12500,11250,0.9,7.75,120,2010,11/20/09,11/20/09,0,9/29/19,0,2.25,2,0,0,5625,0.45,0,0,0,561431,3
JD LAUNDRA ENTERPRISES INC,13611,PIF,7500,6750,0.9,7.75,120,2010,11/20/09,11/20/09,0,9/29/19,0,2.25,4,0,0,7500,1,0,0,0,454112,3
"S & G ENTERPRISES USA, INC",13612,PIF,5000,4500,0.9,7.75,120,2010,11/16/09,11/16/09,0,9/25/19,0,2.25,4,0,0,5000,1,0,0,0,541618,3
A.C.A. Glass Inc.,13613,EXEMPT,10000,9000,0.9,7.75,120,2010,11/13/09,11/13/09,0,9/22/19,0,2.25,2,0,0,4500,0.45,0,0,0,238150,3
"FLEUR DE LYS, LLC",13614,EXEMPT,25000,22500,0.9,7.75,120,2010,11/10/09,11/10/09,0,9/19/19,0,2.25,2,0,0,11250,0.45,0,0,0,442299,2
ASLAN TAX SERVICES INC.,13615,PIF,20000,18000,0.9,7.75,120,2010,11/6/09,11/6/09,0,9/15/19,0,2.25,4,0,0,20000,1,0,0,0,541219,5
MALEKO'S,13616,EXEMPT,5000,4500,0.9,7.75,120,2010,11/3/09,11/3/09,0,9/12/19,0,2.25,2,0,0,2250,0.45,0,0,0,448150,1
KUMUSTA INC,13617,PIF,5000,4500,0.9,7.75,120,2010,11/2/09,11/2/09,0,9/11/19,0,2.25,4,0,0,5000,1,0,0,0,454111,2
FLORIDA SUNSHINE SOLUTIONS INC,13618,PIF,7500,6750,0.9,7.75,120,2010,11/2/09,11/2/09,0,9/11/19,0,2.25,4,0,0,7500,1,0,0,0,454111,1
BIP DIPIETRO ELECTRIC INC,13619,EXEMPT,12500,11250,0.9,7.75,120,2010,10/29/09,10/29/09,0,9/7/19,0,2.25,2,0,0,5625,0.45,0,0,0,238210,7
MARTIN VILLA TRUCKING,13620,PIF,12500,11250,0.9,7.75,120,2010,10/27/09,10/27/09,0,9/5/19,0,2.25,4,0,0,12500,1,0,0,0,336399,4
"FORTY-SIX / FIFTY-FOUR, LLC",13621,PIF,5000,4500,0.9,7.75,120,2010,10/21/09,10/21/09,0,8/30/19,0,2.25,4,0,0,5000,1,0,0,0,541618,4
"C.A.V. FREEDOM WEALTH, INC",13622,EXEMPT,7500,6750,0.9,7.75,120,2010,10/20/09,10/20/09,0,8/29/19,0,2.25,2,0,0,3375,0.45,0,0,0,454210,3
"POINT OF VIEW, INC",13623,EXEMPT,15000,13500,0.9,7.75,120,2010,10/20/09,10/20/09,0,8/29/19,0,2.25,2,0,0,6750,0.45,0,0,0,541613,2
VILLAGES POOL AND SPA SERVICE,13624,EXEMPT,5000,4500,0.9,7.75,120,2010,10/16/09,10/16/09,0,8/25/19,0,2.25,2,0,0,2250,0.45,0,0,0,811412,4
E R COMPUTER SERVICES INC,13625,EXEMPT,5000,4500,0.9,7.75,120,2010,10/15/09,10/15/09,0,8/24/19,0,2.25,2,0,0,2250,0.45,0,0,0,541890,2
"SAHB ENTERTAINMENTS, INC",13626,PIF,12500,11250,0.9,7.75,120,2010,10/14/09,10/14/09,0,8/23/19,0,2.25,4,0,0,12500,1,0,0,0,722410,7
Something Blue Bridal Boutique,13627,EXEMPT,20000,18000,0.9,7.75,120,2010,10/14/09,10/14/09,0,8/23/19,0,2.25,2,0,0,9000,0.45,0,0,0,448190,6
"ROBDESIGN, INC",13628,PIF,10000,9000,0.9,7.75,120,2010,10/13/09,10/13/09,0,8/22/19,0,2.25,4,0,0,10000,1,0,0,0,541618,1
COMMERCIAL CAPITAL CONSULTANTS,13629,EXEMPT,10000,9000,0.9,7.75,120,2010,10/8/09,10/8/09,0,8/17/19,0,2.25,2,0,0,4500,0.45,0,0,0,541611,1
THOMFAL INC,13630,PIF,7500,6750,0.9,7.75,120,2010,10/7/09,10/7/09,0,8/16/19,0,2.25,4,0,0,7500,1,0,0,0,488330,2
"SERENNAS USA, INC",13631,EXEMPT,5000,4500,0.9,7.75,120,2010,10/5/09,10/5/09,0,8/14/19,0,2.25,2,0,0,2250,0.45,0,0,0,722110,3
CARIBBEAN TRADE AND ADVERTISIN,13632,EXEMPT,5000,4500,0.9,7.75,120,2010,10/2/09,10/2/09,0,8/11/19,0,2.25,2,0,0,2250,0.45,0,0,0,541890,4
"KENBET GLOBAL ENTERPRISES, INC",13633,EXEMPT,5000,4500,0.9,7.75,120,2010,10/2/09,10/2/09,0,8/11/19,0,2.25,2,0,0,2250,0.45,0,0,0,454111,5
SHADIA'S SECRETS INC,13634,EXEMPT,15000,13500,0.9,7.75,120,2010,10/1/09,10/1/09,0,8/10/19,0,2.25,2,0,0,6750,0.45,0,0,0,446199,1
Wasser Group Inc.,13635,EXEMPT,2400000,1800000,0.75,4.75,120,2015,7/28/15,8/1/15,4,6/9/25,0,1.5,3.5,0,0,720000,0.3,0,0,0,445110,20
Roadrunner Auto Glass & Access,13638,EXEMPT,150000,127500,0.85,7.25,120,2018,1/17/18,2/28/18,42,1/7/28,0,1.4,5,0,0,52500,0.35,0,0,0,811111,0
"Vitalize Nutrition by Carly, I",13639,EXEMPT,196000,147000,0.75,7,120,2018,12/4/17,1/31/18,58,12/10/27,0,1.4,5,0,0,68600,0.35,0,0,0,446191,2
"Runyen Blinds, Inc.",13640,EXEMPT,850000,637500,0.75,7,183,2018,11/16/17,12/31/17,45,1/11/33,0,1.4,5,0,0,297500,0.35,0,0,0,337920,4
"The Cake Girls FL, LLC",13641,EXEMPT,380000,285000,0.75,7,126,2018,11/10/17,2/28/18,110,7/5/28,0,1.4,5,0,0,133000,0.35,0,0,0,722515,9
OURKIDSWEST LLC,13642,EXEMPT,460000,345000,0.75,7,180,2017,9/20/17,10/31/17,41,8/13/32,0,1,4,0,0,161000,0.35,0,0,0,624410,6
"Ground Swell Surf, Inc. dba Gr",13643,EXEMPT,285000,213750,0.75,7,120,2017,8/2/17,8/31/17,29,7/10/27,0,1,4,0,0,99750,0.35,0,0,0,451110,2
"HX Components, Inc. dba Concep",13644,EXEMPT,735000,551250,0.75,6.75,120,2017,6/14/17,6/30/17,16,5/9/27,0,1,4,0,0,220500,0.3,0,0,0,332710,3
"2025 Whitfield, LLC dba Glenco",13645,EXEMPT,500000,375000,0.75,6.75,120,2017,5/16/17,6/30/17,45,5/9/27,0,1,4,0,0,175000,0.35,0,0,0,453998,1
"BST Designs, LLC",13646,EXEMPT,150000,127500,0.85,6.75,120,2017,4/26/17,5/31/17,35,4/9/27,0,1,4,0,0,52500,0.35,0,0,0,444190,3
"Rene F. Cedeno, D.M.D., P.A.",13647,EXEMPT,775000,581250,0.75,6.5,300,2017,1/10/17,1/10/17,0,9/1/41,0,1,4,0,0,232500,0.3,0,0,0,621210,6
Books N Billing Inc.,13648,EXEMPT,100000,85000,0.85,6.25,120,2017,12/19/16,12/19/16,0,10/28/26,0,1,4,0,0,30000,0.3,0,0,0,541219,5
