BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysIN2TB4CO,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"ADVANCED RESCUE & SAFETY, LLC",1905 MARKETVIEW DR UNIT 221,YORKVILLE,IL,60560,9796,PIF,50000,25000,8.15,84,2017,11/1/16,11/1/16, -   ,9/26/23,0,,,,,,"2,520",84,541690,Other Scientific and Technical Consulting Services,40,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
SZUMI INC.,5337 W CULLOM AVE,CHICAGO,IL,60641,9797,PIF,10000,5000,9.15,84,2017,10/5/16,10/5/16, -   ,8/30/23,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
COLORJAR INTERACTIVE LLC,435 N LA SALLE DR STE 201,CHICAGO,IL,60654,9799,PIF,250000,125000,5.25,84,2016,9/16/16,9/16/16, -   ,8/11/23,0,,,,,,"2,520",84,541511,Custom Computer Programming Services,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"CIS, INC.",14N507 TIMBER RIDGE DR,ELGIN,IL,60124,9801,PIF,28000,14000,8.15,84,2016,8/15/16,8/15/16, -   ,7/10/23,0,,,,,,"2,520",84,423830,Industrial Machinery and Equipment Merchant Wholesalers,3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
TKO LOGISTICS INC.,6N028 LINDEN AVE,MEDINAH,IL,60157,9802,PIF,24000,12000,7.05,84,2016,7/13/16,7/13/16, -   ,6/7/23,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"NOVO SURGICAL, INC.",700 COMMERCE DR STE 500,OAK BROOK,IL,60523,9803,PIF,100000,50000,6.55,84,2016,6/23/16,6/23/16, -   ,5/18/23,0,,,,,,"2,520",84,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"PHOENIX INSTRUMENTS, INC.",2368 CORPORATE LN STE 106,NAPERVILLE,IL,60563,9804,PIF,250000,125000,6.585,84,2016,6/23/16,6/23/16, -   ,5/18/23,0,,,,,,"2,520",84,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"AVANT-GARDE SERVICES, INC.",1173 Saint Andrews Ct,ALGONQUIN,IL,60102,9807,PIF,25600,12800,5.75,60,2016,6/7/16,6/7/16, -   ,5/12/21,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
CT OWNERS GROUP INCORPORATED,2610 W BERWYN AVE Apt 109,CHICAGO,IL,60625,9809,PIF,38100,19050,6.75,60,2016,5/18/16,5/18/16, -   ,4/22/21,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"RIPT Apparel, L.L.C.",1641 W CARROLL AVE,CHICAGO,IL,60612,9810,PIF,254600,127300,7.01,84,2016,5/10/16,5/10/16, -   ,4/4/23,0,,,,,,"2,520",84,448190,Other Clothing Stores,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"SBT LOGISTICS, INC",8558 W Catherine Ave Unit 2N,CHICAGO,IL,60656,9811,PIF,20000,10000,5.5,84,2016,5/9/16,5/9/16, -   ,4/3/23,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"SBT LOGISTICS, INC",8558 W Catherine Ave Unit 2N,CHICAGO,IL,60656,9812,PIF,20000,10000,5.5,84,2016,5/9/16,5/9/16, -   ,4/3/23,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"J.C. CHAMPS, INC.",521 SUSAN CT,SCHAUMBURG,IL,60193,9814,PIF,25000,12500,5.55,84,2016,3/7/16,3/7/16, -   ,1/30/23,0,,,,,,"2,520",84,236118,Residential Remodelers,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"KSA TRANS, INC.",1013 CHARLELA LN APT 307,ELK GROVE VILLAGE,IL,60007,9816,PIF,30000,15000,5.4,84,2016,2/22/16,2/22/16, -   ,1/16/23,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
CONTOUR FREIGHT INC.,4901 CRAIN ST APT 2A,SKOKIE,IL,60077,9817,PIF,14700,7350,6.75,48,2016,2/9/16,2/9/16, -   ,1/19/20,0,,,,,,"1,440",48,484121,"General Freight Trucking, Long Distance, Truckload",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
WIN MEDIA INCORPORATED,262 E GOLF RD,ARLINGTON HEIGHTS,IL,60005,9818,PIF,25000,12500,7.8,84,2016,2/5/16,2/5/16, -   ,12/30/22,0,,,,,,"2,520",84,515120,Television Broadcasting,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
MD-USA CO.,7815 DARIEN LAKE DR,DARIEN,IL,60561,9821,PIF,32900,16450,6.5,60,2016,11/17/15,11/17/15, -   ,10/21/20,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
LawDog Security & Investigatio,3055 W 111th St Ste 4N,CHICAGO,IL,60655,9822,PIF,50000,25000,7.4,84,2016,11/12/15,11/12/15, -   ,10/6/22,0,,,,,,"2,520",84,561612,Security Guards and Patrol Services,10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"MILLER S. CO., INC",1108 COVINGTON DR,LEMONT,IL,60439,9823,PIF,16800,8400,8.45,60,2016,11/5/15,11/5/15, -   ,10/9/20,0,,,,,,"1,800",60,484110,"General Freight Trucking, Local",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Materials Engineering of Illin,47 W605 IC TRAIL,Virgil,IL,60151,9825,PIF,100000,50000,6.3,84,2016,11/3/15,11/3/15, -   ,9/27/22,0,,,,,,"2,520",84,541330,Engineering Services,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
LIBERTYVILLE CARPET & UPHOLSTE,888 E BELVIDERE RD  STE 120,GRAYSLAKE,IL,60030,9830,PIF,44000,22000,5,84,2016,10/6/15,10/6/15, -   ,8/30/22,0,,,,,,"2,520",84,561740,Carpet and Upholstery Cleaning Services,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Two Kois, Inc",614 E Saint Charles Rd,CAROL STREAM,IL,60188,9831,PIF,70000,35000,6.4,84,2015,9/25/15,9/25/15, -   ,8/19/22,0,,,,,,"2,520",84,445110,Supermarkets and Other Grocery (except Convenience) Stores,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"J3 CONSTRUCTION, INC.",975 ROHLWING RD,ROLLING MEADOWS,IL,60008,9833,PIF,50000,25000,7.3,84,2015,9/15/15,9/15/15, -   ,8/9/22,0,,,,,,"2,520",84,238160,Roofing Contractors,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"AT LINE, INC.",6509 N Hoyne Ave Apt 2N,CHICAGO,IL,60645,9837,PIF,40000,20000,7.15,84,2015,8/6/15,8/6/15, -   ,6/30/22,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
RJ CONCRETE INC.,100 E COMSTOCK AVE,ADDISON,IL,60101,9838,PIF,75000,37500,6.4,84,2015,8/4/15,8/4/15, -   ,6/28/22,0,,,,,,"2,520",84,238110,Poured Concrete Foundation and Structure Contractors,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
ERA TRANSPORT INC.,1809 CUYLER AVE,BERWYN,IL,60402,9842,PIF,25000,12500,8.4,84,2015,7/20/15,7/20/15, -   ,6/13/22,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
BRENNAN GARVEY LLC,20 N Clark St,CHICAGO,IL,60602,9844,PIF,350000,175000,5.5,84,2015,7/8/15,7/8/15, -   ,6/1/22,0,,,,,,"2,520",84,541110,Offices of Lawyers,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
KG TRANSIT INC.,7010 W 110th St,WORTH,IL,60482,9845,PIF,22000,11000,6.25,24,2015,7/8/15,7/8/15, -   ,6/27/17,0,,,,,,720,24,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"UNITED INTERMODAL CARRIERS, IN",2502 ARLINGDALE DR,PALATINE,IL,60067,9850,PIF,150000,75000,4.75,84,2015,6/16/15,6/16/15, -   ,5/10/22,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
AK WHOLESALE INC,914 ESTES CT,SCHAUMBURG,IL,60193,9852,PIF,150000,75000,5.25,84,2015,6/9/15,6/9/15, -   ,5/3/22,0,,,,,,"2,520",84,424410,General Line Grocery Merchant Wholesalers,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"BESPOKE CREAMERY, LLC",324 N. Leavitt St,CHICAGO,IL,60612,9854,PIF,25000,12500,9.3,84,2015,6/2/15,6/2/15, -   ,4/26/22,0,,,,,,"2,520",84,311520,Ice Cream and Frozen Dessert Manufacturing,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Single Scoop, LLC",541 Plainfield Road,DARIEN,IL,60561,9855,PIF,1745900,1309425,5.25,240,2015,5/26/15,5/26/15, -   ,2/10/35,0,,,,,,"7,200",240,722513,Limited-Service Restaurants,35,PLP,Guaranty,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Ignite Gaming,3341 N Elston Ave,CHICAGO,IL,60618,9858,PIF,75000,37500,7.15,84,2015,5/19/15,5/19/15, -   ,4/12/22,0,,,,,,"2,520",84,713990,All Other Amusement and Recreation Industries,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
DARKO TRANS INC.,2341 Magnolia St,DES PLAINES,IL,60018,9859,PIF,21200,10600,8.7,84,2015,5/15/15,5/15/15, -   ,4/8/22,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
LAZAR FREIGHT INC.,4500 N Winchester Ave Apt 808,CHICAGO,IL,60640,9860,PIF,20600,10300,6.25,84,2015,5/5/15,5/5/15, -   ,3/29/22,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"CANOVAS ITALIAN BAR & GRILL, I",2583 North Mulford Rd,ROCKFORD,IL,61114,9861,PIF,25000,12500,5.95,84,2015,5/4/15,5/4/15, -   ,3/28/22,0,,,,,,"2,520",84,722511,Full-Service Restaurants,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Bali Enterprises LLC,2219 Calvert Ct,NAPERVILLE,IL,60565,9865,PIF,250000,125000,7.05,84,2015,4/21/15,4/21/15, -   ,3/15/22,0,,,,,,"2,520",84,423690,Other Electronic Parts and Equipment Merchant Wholesalers,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
LM BOTTEGA LTD.,1016 Davis St,EVANSTON,IL,60201,9866,PIF,40000,20000,6.3,84,2015,4/16/15,4/16/15, -   ,3/10/22,0,,,,,,"2,520",84,611699,All Other Miscellaneous Schools and Instruction,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
FREIGHT UNION INCORPORATED,5105 Tollview Dr,ROLLING MEADOWS,IL,60008,9868,PIF,45700,22850,6.25,60,2015,4/13/15,4/13/15, -   ,3/17/20,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
SOMIR SERVICE INC.,748 N Briar Hill Ln Apt 2,ADDISON,IL,60101,9869,PIF,24000,12000,8.45,84,2015,4/9/15,4/9/15, -   ,3/3/22,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"PITMAN TRUCKING, INC.",4852 Mulford St Apt 1,SKOKIE,IL,60077,9870,PIF,29900,14950,5,84,2015,4/9/15,4/9/15, -   ,3/3/22,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Write- Green Inc.,1669 Tonne Rd,ELK GROVE VILLAGE,IL,60007,9871,PIF,75000,37500,4.65,84,2015,4/8/15,4/8/15, -   ,3/2/22,0,,,,,,"2,520",84,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Dynamic Building Restoration,",12007 S Laramie Ave,ALSIP,IL,60803,9872,PIF,45000,22500,8.9,84,2015,4/3/15,4/3/15, -   ,2/25/22,0,,,,,,"2,520",84,238140,Masonry Contractors,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"HOTQUANT, INC.",1608 S Ashland Ave Suite 3150,CHICAGO,IL,60608,9873,PIF,65000,32500,7.15,84,2015,3/26/15,3/26/15, -   ,2/17/22,0,,,,,,"2,520",84,541512,Computer Systems Design Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"INDEPENDENT VENTURES, INC.",1830 Wallace Ave #222,SAINT CHARLES,IL,60174,9875,PIF,25000,12500,5.65,84,2015,3/19/15,3/19/15, -   ,2/10/22,0,,,,,,"2,520",84,454210,Vending Machine Operators,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"MG RESTORATION GROUP, INC.",9028 W 89th St,HICKORY HILLS,IL,60457,9876,PIF,15000,7500,6.5,36,2015,3/18/15,3/18/15, -   ,3/2/18,0,,,,,,"1,080",36,236118,Residential Remodelers,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"ACTIVECAMPAIGN, INC.",150 N Michigan Ave Ste 1230,CHICAGO,IL,60601,9877,PIF,200000,100000,5.25,84,2015,3/18/15,3/18/15, -   ,2/9/22,0,,,,,,"2,520",84,541511,Custom Computer Programming Services,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"PITMAN TRUCKING, INC.",4852 Mulford St Apt 1,SKOKIE,IL,60077,9878,PIF,33600,16800,5,60,2015,3/12/15,3/12/15, -   ,2/14/20,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"SHARCHITECTURE, INC.",1915 W Roscoe St,CHICAGO,IL,60657,9879,PIF,25000,12500,5.4,84,2015,3/6/15,3/6/15, -   ,1/28/22,0,,,,,,"2,520",84,541310,Architectural Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
ALERT IT SOLUTIONS INC,1230 Golf View Dr,WOODRIDGE,IL,60517,9880,PIF,200000,100000,5.8,84,2015,2/25/15,2/25/15, -   ,1/19/22,0,,,,,,"2,520",84,541511,Custom Computer Programming Services,15,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"B S L EXPRESS, INC.",23A Kingery Quarter Apt 201,WILLOWBROOK,IL,60527,9885,PIF,29500,14750,5,84,2015,2/6/15,2/6/15, -   ,12/31/21,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
ALANIS DEVELOPMENT CORPORATION,5131 W Fullerton Avenue,CHICAGO,IL,60639,9886,PIF,86000,43000,7.15,60,2015,2/5/15,2/5/15, -   ,1/10/20,0,,,,,,"1,800",60,236118,Residential Remodelers,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
JAO Health And Fitness Inc.,3061B S. Wolf Road,WESTCHESTER,IL,60154,9887,PIF,350000,175000,5.75,84,2015,2/5/15,2/5/15, -   ,12/30/21,0,,,,,,"2,520",84,713940,Fitness and Recreational Sports Centers,12,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
DYNASTY LANDSCAPING,1N375 Ridgeland Ave,WEST CHICAGO,IL,60185,9888,PIF,50000,25000,4.95,84,2015,1/28/15,1/28/15, -   ,12/22/21,0,,,,,,"2,520",84,561730,Landscaping Services,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Network Ninja Incorporated,1327 N Milwaukee Ave Fl 3,CHICAGO,IL,60622,9898,PIF,225000,112500,6.25,84,2015,12/12/14,12/12/14, -   ,11/5/21,0,,,,,,"2,520",84,541511,Custom Computer Programming Services,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"LOZAN, INC.",2140 Hassell Rd Apt 102,HOFFMAN ESTATES,IL,60169,9899,PIF,51000,25500,6.5,60,2015,12/10/14,12/10/14, -   ,11/14/19,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Greek Occasions, LLC",1502 Kinross Street,FLOSSMOOR,IL,60422,9900,PIF,343100,171550,2.092,120,2015,12/10/14,12/10/14, -   ,10/18/24,0,,,,,,"3,600",120,453220,"Gift, Novelty, and Souvenir Stores",4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"MEDQUEST USA, LLC",42W487 Jens Jensen Ln,SAINT CHARLES,IL,60175,9901,PIF,50000,25000,6.3,84,2015,12/1/14,12/1/14, -   ,10/25/21,0,,,,,,"2,520",84,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
STORM RESTORATION CONSULTING F,252 Laurel Ln,BLOOMINGDALE,IL,60108,9904,PIF,60000,30000,7.15,84,2015,11/17/14,11/17/14, -   ,10/11/21,0,,,,,,"2,520",84,444190,Other Building Material Dealers,24,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
B.R. TRANSPORTATION 1 INC,4530 S Springfield Ave,CHICAGO,IL,60632,9905,PIF,43100,21550,6.5,84,2015,11/7/14,11/7/14, -   ,10/1/21,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"I. Q. TECHNOLOGIES, INC",111 N Wabash Ave Ste 2013,CHICAGO,IL,60602,9906,PIF,100000,50000,6.15,84,2015,11/6/14,11/6/14, -   ,9/30/21,0,,,,,,"2,520",84,541512,Computer Systems Design Services,12,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Benko, Inc.",5226 N Oakview St Apt 3W,CHICAGO,IL,60656,9907,PIF,20000,10000,6.25,84,2015,11/3/14,11/3/14, -   ,9/27/21,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"M. Rogers Design, Inc.",3400 West Lake Avenue,GLENVIEW,IL,60026,9908,PIF,2000000,1500000,3.747,120,2015,11/3/14,11/3/14, -   ,9/11/24,0,,,,,,"3,600",120,339950,Sign Manufacturing,10,PLP,Guaranty,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
MEJIA SERVICES INC.,6100 S Natchez Ave,CHICAGO,IL,60638,9912,PIF,15000,7500,9.3,84,2015,10/20/14,10/20/14, -   ,9/13/21,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Ravinia Capital LLC,185 N Franklin St Fl 5,CHICAGO,IL,60606,9913,PIF,85000,42500,5.4,84,2015,10/15/14,10/15/14, -   ,9/8/21,0,,,,,,"2,520",84,541618,Other Management Consulting Services,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"LINCOLN SECURITY SERVICES, LLC",4137 Sunnyside Ave,BROOKFIELD,IL,60513,9914,PIF,125000,62500,5.25,84,2015,10/15/14,10/15/14, -   ,9/8/21,0,,,,,,"2,520",84,561612,Security Guards and Patrol Services,100,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Mobile Roadside Services, LLC",948 Prairie Hill Ct,CARY,IL,60013,9915,PIF,42300,21150,8.7,84,2015,10/14/14,10/14/14, -   ,9/7/21,0,,,,,,"2,520",84,811111,General Automotive Repair,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"BZ SERVICES, INC.",3624 Elder Ln,FRANKLIN PARK,IL,60131,9916,PIF,46700,23350,6.5,84,2015,10/13/14,10/13/14, -   ,9/6/21,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
MM WAY CO.,483 Leslie Ct Apt 202,DES PLAINES,IL,60016,9917,PIF,70000,35000,6.8,60,2015,10/8/14,10/8/14, -   ,9/12/19,0,,,,,,"1,800",60,484110,"General Freight Trucking, Local",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"ISAAC ALAN XPORT, INC",8770 W Bryn Mawr Ave Ste 130,CHICAGO,IL,60631,9918,PIF,11300,5650,9.05,84,2014,9/29/14,9/29/14, -   ,8/23/21,0,,,,,,"2,520",84,485320,Limousine Service,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"BENITEZ EXPRESS, INC.",13121 S 85th Ave,PALOS PARK,IL,60464,9921,PIF,25000,12500,5.25,84,2014,9/23/14,9/23/14, -   ,8/17/21,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
RVK EXPRESS INC.,4314 Bayhead Ct Apt 2A,AURORA,IL,60504,9922,PIF,28400,14200,5,48,2014,9/18/14,9/18/14, -   ,8/28/18,0,,,,,,"1,440",48,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
